Temps (s);CH1 (V);CH2 (V)
-2.250000e-03;-3.480;0.000
-2.249000e-03;-3.520;0.000
-2.248000e-03;-3.520;0.000
-2.247000e-03;-3.520;0.000
-2.246000e-03;-3.480;-0.040
-2.245000e-03;-3.480;0.000
-2.244000e-03;-3.480;0.000
-2.243000e-03;-3.480;0.000
-2.242000e-03;-3.480;0.020
-2.241000e-03;-3.480;0.000
-2.240000e-03;-3.480;0.020
-2.239000e-03;-3.480;0.060
-2.238000e-03;-3.480;0.000
-2.237000e-03;-3.480;-0.020
-2.236000e-03;-3.440;0.000
-2.235000e-03;-3.480;0.020
-2.234000e-03;-3.440;0.000
-2.233000e-03;-3.440;0.000
-2.232000e-03;-3.440;-0.060
-2.231000e-03;-3.440;0.000
-2.230000e-03;-3.440;0.000
-2.229000e-03;-3.440;-0.020
-2.228000e-03;-3.440;0.000
-2.227000e-03;-3.400;0.000
-2.226000e-03;-3.400;0.020
-2.225000e-03;-3.440;0.040
-2.224000e-03;-3.400;0.000
-2.223000e-03;-3.400;0.000
-2.222000e-03;-3.400;0.040
-2.221000e-03;-3.400;0.000
-2.220000e-03;-3.400;0.020
-2.219000e-03;-3.400;0.000
-2.218000e-03;-3.400;-0.020
-2.217000e-03;-3.400;0.020
-2.216000e-03;-3.360;0.000
-2.215000e-03;-3.400;0.000
-2.214000e-03;-3.360;0.000
-2.213000e-03;-3.360;-0.020
-2.212000e-03;-3.360;-0.040
-2.211000e-03;-3.320;-0.020
-2.210000e-03;-3.360;0.000
-2.209000e-03;-3.320;0.000
-2.208000e-03;-3.320;0.020
-2.207000e-03;-3.320;-0.020
-2.206000e-03;-3.280;0.000
-2.205000e-03;-3.280;0.000
-2.204000e-03;-3.280;0.020
-2.203000e-03;-3.280;0.000
-2.202000e-03;-3.280;0.000
-2.201000e-03;-3.280;0.000
-2.200000e-03;-3.240;0.020
-2.199000e-03;-3.240;0.020
-2.198000e-03;-3.240;0.000
-2.197000e-03;-3.240;0.000
-2.196000e-03;-3.240;0.020
-2.195000e-03;-3.240;0.020
-2.194000e-03;-3.200;-0.020
-2.193000e-03;-3.200;-0.040
-2.192000e-03;-3.200;0.000
-2.191000e-03;-3.200;0.000
-2.190000e-03;-3.200;0.000
-2.189000e-03;-3.160;0.040
-2.188000e-03;-3.160;0.020
-2.187000e-03;-3.160;-0.040
-2.186000e-03;-3.080;0.020
-2.185000e-03;-3.080;0.020
-2.184000e-03;-3.120;0.000
-2.183000e-03;-3.080;0.000
-2.182000e-03;-3.080;-0.040
-2.181000e-03;-3.080;-0.020
-2.180000e-03;-3.040;0.000
-2.179000e-03;-3.040;-0.020
-2.178000e-03;-3.040;-0.020
-2.177000e-03;-3.040;0.020
-2.176000e-03;-3.000;-0.020
-2.175000e-03;-3.040;0.000
-2.174000e-03;-3.000;0.000
-2.173000e-03;-3.000;0.020
-2.172000e-03;-3.000;0.040
-2.171000e-03;-3.000;-0.020
-2.170000e-03;-2.960;0.000
-2.169000e-03;-2.960;0.020
-2.168000e-03;-2.920;0.000
-2.167000e-03;-2.960;0.000
-2.166000e-03;-2.920;0.000
-2.165000e-03;-2.920;-0.020
-2.164000e-03;-2.880;0.020
-2.163000e-03;-2.880;-0.020
-2.162000e-03;-2.880;-0.040
-2.161000e-03;-2.840;0.000
-2.160000e-03;-2.840;-0.020
-2.159000e-03;-2.800;-0.020
-2.158000e-03;-2.800;0.000
-2.157000e-03;-2.800;-0.060
-2.156000e-03;-2.800;0.020
-2.155000e-03;-2.760;0.000
-2.154000e-03;-2.760;0.000
-2.153000e-03;-2.760;0.000
-2.152000e-03;-2.720;0.020
-2.151000e-03;-2.720;0.020
-2.150000e-03;-2.680;0.060
-2.149000e-03;-2.680;0.000
-2.148000e-03;-2.680;0.020
-2.147000e-03;-2.680;0.020
-2.146000e-03;-2.640;0.000
-2.145000e-03;-2.640;0.000
-2.144000e-03;-2.640;0.000
-2.143000e-03;-2.600;-0.040
-2.142000e-03;-2.600;0.000
-2.141000e-03;-2.560;-0.020
-2.140000e-03;-2.560;-0.040
-2.139000e-03;-2.520;0.020
-2.138000e-03;-2.520;0.000
-2.137000e-03;-2.480;-0.040
-2.136000e-03;-2.480;0.020
-2.135000e-03;-2.480;0.000
-2.134000e-03;-2.440;0.020
-2.133000e-03;-2.440;0.020
-2.132000e-03;-2.440;0.020
-2.131000e-03;-2.400;0.000
-2.130000e-03;-2.400;0.000
-2.129000e-03;-2.400;0.000
-2.128000e-03;-2.360;0.000
-2.127000e-03;-2.320;0.000
-2.126000e-03;-2.320;-0.020
-2.125000e-03;-2.320;0.040
-2.124000e-03;-2.280;0.000
-2.123000e-03;-2.280;0.000
-2.122000e-03;-2.280;0.020
-2.121000e-03;-2.240;0.000
-2.120000e-03;-2.200;0.000
-2.119000e-03;-2.200;0.020
-2.118000e-03;-2.200;-0.060
-2.117000e-03;-2.160;0.000
-2.116000e-03;-2.160;0.000
-2.115000e-03;-2.160;0.020
-2.114000e-03;-2.120;0.000
-2.113000e-03;-2.080;0.000
-2.112000e-03;-2.120;0.040
-2.111000e-03;-2.040;0.040
-2.110000e-03;-2.040;0.000
-2.109000e-03;-2.040;0.000
-2.108000e-03;-2.000;0.020
-2.107000e-03;-2.000;-0.020
-2.106000e-03;-2.000;0.020
-2.105000e-03;-1.960;0.000
-2.104000e-03;-1.960;-0.040
-2.103000e-03;-1.920;0.020
-2.102000e-03;-1.880;0.000
-2.101000e-03;-1.880;-0.020
-2.100000e-03;-1.840;0.020
-2.099000e-03;-1.840;0.000
-2.098000e-03;-1.840;0.020
-2.097000e-03;-1.800;0.020
-2.096000e-03;-1.800;0.000
-2.095000e-03;-1.800;0.000
-2.094000e-03;-1.760;0.000
-2.093000e-03;-1.720;0.000
-2.092000e-03;-1.680;0.020
-2.091000e-03;-1.680;-0.020
-2.090000e-03;-1.680;0.000
-2.089000e-03;-1.640;0.000
-2.088000e-03;-1.640;0.000
-2.087000e-03;-1.640;-0.060
-2.086000e-03;-1.600;0.000
-2.085000e-03;-1.560;0.000
-2.084000e-03;-1.560;0.000
-2.083000e-03;-1.520;0.040
