Temps (s);CH1 (V);CH2 (V)
-3.500000e-03;2.400;0.000
-3.498000e-03;2.400;0.000
-3.496000e-03;2.400;0.020
-3.494000e-03;2.400;0.000
-3.492000e-03;2.400;0.020
-3.490000e-03;2.360;-0.040
-3.488000e-03;2.400;0.020
-3.486000e-03;2.360;0.000
-3.484000e-03;2.400;-0.020
-3.482000e-03;2.400;0.020
-3.480000e-03;2.400;0.020
-3.478000e-03;2.400;0.000
-3.476000e-03;2.400;-0.020
-3.474000e-03;2.400;0.000
-3.472000e-03;2.440;0.000
-3.470000e-03;2.440;0.020
-3.468000e-03;2.440;0.000
-3.466000e-03;2.400;0.000
-3.464000e-03;2.440;-0.040
-3.462000e-03;2.440;0.000
-3.460000e-03;2.440;0.000
-3.458000e-03;2.440;-0.020
-3.456000e-03;2.440;0.020
-3.454000e-03;2.440;0.000
-3.452000e-03;2.440;0.020
-3.450000e-03;2.440;0.020
-3.448000e-03;2.440;0.020
-3.446000e-03;2.440;0.000
-3.444000e-03;2.440;0.020
-3.442000e-03;2.440;0.000
-3.440000e-03;2.440;-0.040
-3.438000e-03;2.440;0.000
-3.436000e-03;2.440;0.000
-3.434000e-03;2.440;0.020
-3.432000e-03;2.440;0.020
-3.430000e-03;2.440;0.020
-3.428000e-03;2.440;0.000
-3.426000e-03;2.440;-0.020
-3.424000e-03;2.440;0.000
-3.422000e-03;2.440;0.000
-3.420000e-03;2.480;-0.020
-3.418000e-03;2.480;0.000
-3.416000e-03;2.440;0.020
-3.414000e-03;2.440;-0.020
-3.412000e-03;2.480;0.020
-3.410000e-03;2.480;0.020
-3.408000e-03;2.480;-0.060
-3.406000e-03;2.440;0.000
-3.404000e-03;2.480;0.020
-3.402000e-03;2.440;0.020
-3.400000e-03;2.480;0.020
-3.398000e-03;2.480;-0.020
-3.396000e-03;2.480;0.020
-3.394000e-03;2.480;0.040
-3.392000e-03;2.480;0.000
-3.390000e-03;2.480;0.020
-3.388000e-03;2.480;0.000
-3.386000e-03;2.480;0.020
-3.384000e-03;2.480;-0.020
-3.382000e-03;2.480;0.000
-3.380000e-03;2.480;0.000
-3.378000e-03;2.480;0.020
